name,parse,price,salecount
产品名称：Samsung/三星 MZ-75E250...,硬盘容量: 250GB,699,1515
产品名称：Samsung/三星 MZ-75E250...,硬盘容量: 250GB,699,1515
产品名称：PLEXTOR/浦科�?PX-256M...,硬盘容量: 256GB,859,708
产品名称：PLEXTOR/浦科�?PX-256M...,硬盘容量: 256GB,859,708
产品名称：士必得 T6-120G,硬盘容量: 120GB,499,1288
产品名称：士必得 T6-120G,硬盘容量: 120GB,499,1288
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 128GB,495,488
产品名称：偲冠特 IDE 卧式 16GB DOM,硬盘容量: 16GB,139,0
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 128GB,495,488
产品名称：偲冠特 IDE 卧式 16GB DOM,硬盘容量: 16GB,139,0
产品名称：Transcend/创见 TS120GES...,硬盘容量: 120GB,699,7
产品名称：偲冠特 T500 MSATA 16GB,硬盘容量: 16GB,119,30
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 256GB,941,160
产品名称：Transcend/创见 TS120GES...,硬盘容量: 120GB,699,7
产品名称：偲冠特 T500 MSATA 16GB,硬盘容量: 16GB,119,30
产品名称：Lenovo/联想 SL700 固态硬...,硬盘容量: 256GB,941,160
产品名称：KingSpec/金胜�?ZIF模块...,硬盘容量: 128GB,599,2
产品名称：Transcend/创见 TS512GMT...,硬盘容量: 512GB,2599,4
产品名称：偲冠特 T500 MSATA 32GB,硬盘容量: 32GB,169,7
产品名称：KingSpec/金胜�?ZIF模块...,硬盘容量: 128GB,599,2
产品名称：Transcend/创见 TS512GMT...,硬盘容量: 512GB,2599,4
产品名称：偲冠特 T500 MSATA 32GB,硬盘容量: 32GB,169,7
产品名称：影�?铁甲战将 120GB,硬盘容量: 120GB,399,1255
产品名称：Transcend/创见 TS256GMT...,硬盘容量: 256GB,1399,1
产品名称：KingFast/金�?f6m 128g,硬盘容量: 128GB,399,0
产品名称：影�?铁甲战将 120GB,硬盘容量: 120GB,399,1255
产品名称：士必得 Turbo 2243S16G,接口类型: SATA 2,229,0
产品名称：Transcend/创见 TS256GMT...,硬盘容量: 256GB,1399,1
